benchmark,source,platform,runtime,load,invocation_cost,duration_cost,fs_write_cost,fs_read_cost,transport_cost,total_cost
uc1,http,gcp,java11,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
uc1,http,gcp,java11,100,0.14400,0.05132,0.42120,0.00000,0.00000,0.61652
uc1,http,gcp,java11,200,0.28800,0.10264,0.84240,0.00000,0.00000,1.23304
uc1,http,gcp,java11,300,0.43200,0.15396,1.26360,0.00000,0.00000,1.84956
uc1,http,gcp,java11,400,0.57600,0.20529,1.68480,0.00000,0.00000,2.46609
uc1,http,gcp,java11,500,0.72000,0.25661,2.10600,0.00000,0.00000,3.08261
uc1,http,gcp,java11,600,0.86400,0.30793,2.52720,0.00000,0.00000,3.69913
uc1,http,gcp,java11,700,1.00800,0.35925,2.94840,0.00000,0.00000,4.31565
uc1,http,gcp,java11,800,1.15200,0.41057,3.36960,0.00000,0.00000,4.93217
uc1,http,gcp,java11,900,1.29600,0.46189,3.79080,0.00000,0.00000,5.54869
uc1,http,gcp,java11,1000,1.44000,0.51322,4.21200,0.00000,0.00000,6.16522
uc1,http,gcp,java11,1100,1.58400,0.56454,4.63320,0.00000,0.00000,6.78174
uc1,http,gcp,java11,1200,1.72800,0.61586,5.05440,0.00000,0.00000,7.39826
uc1,pubsub,gcp,java11,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
uc1,pubsub,gcp,java11,100,0.14400,0.13064,0.42120,0.00000,0.01310,0.70893
uc1,pubsub,gcp,java11,200,0.28800,0.26127,0.84240,0.00000,0.02619,1.41787
uc1,pubsub,gcp,java11,300,0.43200,0.39191,1.26360,0.00000,0.03929,2.12680
uc1,pubsub,gcp,java11,400,0.57600,0.52255,1.68480,0.00000,0.05239,2.83573
uc1,pubsub,gcp,java11,500,0.72000,0.65318,2.10600,0.00000,0.06548,3.54467
uc1,pubsub,gcp,java11,600,0.86400,0.78382,2.52720,0.00000,0.07858,4.25360
uc1,pubsub,gcp,java11,700,1.00800,0.91446,2.94840,0.00000,0.09168,4.96253
uc1,pubsub,gcp,java11,800,1.15200,1.04509,3.36960,0.00000,0.10477,5.67147
uc1,pubsub,gcp,java11,900,1.29600,1.17573,3.79080,0.00000,0.11787,6.38040
uc1,pubsub,gcp,java11,1000,1.44000,1.30637,4.21200,0.00000,0.13097,7.08934
uc1,pubsub,gcp,java11,1100,1.58400,1.43700,4.63320,0.00000,0.14406,7.79827
uc1,pubsub,gcp,java11,1200,1.72800,1.56764,5.05440,0.00000,0.15716,8.50720
uc3,http,gcp,java11,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
uc3,http,gcp,java11,100,0.14400,1.00077,4.21200,1.41099,0.00000,6.76776
uc3,http,gcp,java11,200,0.28800,2.00154,8.42400,2.82197,0.00000,13.53551
uc3,http,gcp,java11,300,0.43200,3.00231,12.63600,4.23296,0.00000,20.30327
uc3,http,gcp,java11,400,0.57600,4.00308,16.84800,5.64394,0.00000,27.07103
uc3,http,gcp,java11,500,0.72000,5.00386,21.06000,7.05493,0.00000,33.83878
uc3,http,gcp,java11,600,0.86400,6.00463,25.27200,8.46591,0.00000,40.60654
uc3,http,gcp,java11,700,1.00800,7.00540,29.48400,9.87690,0.00000,47.37429
uc3,http,gcp,java11,800,1.15200,8.00617,33.69600,11.28788,0.00000,54.14205
uc3,http,gcp,java11,900,1.29600,9.00694,37.90800,12.69887,0.00000,60.90981
uc3,http,gcp,java11,1000,1.44000,10.00771,42.12000,14.10985,0.00000,67.67756
uc3,http,gcp,java11,1100,1.58400,11.00848,46.33200,15.52084,0.00000,74.44532
uc3,http,gcp,java11,1200,1.72800,12.00925,50.54400,16.93182,0.00000,81.21308
uc3,pubsub,gcp,java11,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
uc3,pubsub,gcp,java11,100,0.14400,1.08708,4.21200,1.41721,0.01310,6.87339
uc3,pubsub,gcp,java11,200,0.28800,2.17417,8.42400,2.83441,0.02619,13.74677
uc3,pubsub,gcp,java11,300,0.43200,3.26125,12.63600,4.25162,0.03929,20.62016
uc3,pubsub,gcp,java11,400,0.57600,4.34834,16.84800,5.66882,0.05239,27.49355
