exp_id,results_dir,dummy,config_id,benchmark,source,engine,kafkas,cloud,vmtype,instances,max_resources,load,resources,cluster_fee,vm_cost,fs_write_cost,fs_read_cost,pubsub_cost,total_cost
9,results-gcp2,False,3,uc1,http,flink,3,gcp,e2-standard-4,2,3.0,0,1,0.1,0.345336,0.0,0.0,0.0,0.44533599999999995
9,results-gcp2,False,3,uc1,http,flink,3,gcp,e2-standard-4,2,3.0,100,1,0.1,0.345336,0.42119999999999996,0.0,0.03000056,0.8965365599999999
9,results-gcp2,False,3,uc1,http,flink,3,gcp,e2-standard-4,2,3.0,200,2,0.1,0.345336,0.8423999999999999,0.0,0.03000112,1.3177371199999999
9,results-gcp2,False,3,uc1,http,flink,3,gcp,e2-standard-4,2,3.0,300,2,0.1,0.345336,1.2635999999999998,0.0,0.03000168,1.7389376799999998
9,results-gcp2,False,3,uc1,http,flink,3,gcp,e2-standard-4,2,3.0,400,3,0.1,0.345336,1.6847999999999999,0.0,0.03000224,2.1601382399999998
14,results-gcp2,False,3,uc1,http,flink,3,gcp,e2-standard-4,3,6.0,500,4,0.1,0.5180039999999999,2.106,0.0,0.0300028,2.7540068
14,results-gcp2,False,3,uc1,http,flink,3,gcp,e2-standard-4,3,6.0,600,4,0.1,0.5180039999999999,2.5271999999999997,0.0,0.03000336,3.1752073599999995
14,results-gcp2,False,3,uc1,http,flink,3,gcp,e2-standard-4,3,6.0,700,4,0.1,0.5180039999999999,2.9484,0.0,0.03000392,3.59640792
14,results-gcp2,False,3,uc1,http,flink,3,gcp,e2-standard-4,3,6.0,800,4,0.1,0.5180039999999999,3.3695999999999997,0.0,0.03000448,4.01760848
16,results-gcp2,False,3,uc1,http,flink,3,gcp,e2-standard-4,4,,900,7,0.1,0.690672,3.7907999999999995,0.0,0.03000504,4.61147704
16,results-gcp2,False,3,uc1,http,flink,3,gcp,e2-standard-4,4,,1000,8,0.1,0.690672,4.212,0.0,0.0300056,5.0326775999999995
16,results-gcp2,False,3,uc1,http,flink,3,gcp,e2-standard-4,4,,1100,8,0.1,0.690672,4.6331999999999995,0.0,0.03000616,5.4538781599999995
16,results-gcp2,False,3,uc1,http,flink,3,gcp,e2-standard-4,4,,1200,8,0.1,0.690672,5.054399999999999,0.0,0.03000672,5.875078719999999
25,results-gcp2,False,4,uc1,pubsub,flink,0,gcp,e2-standard-4,2,5.0,0,2,0.1,0.345336,0.0,0.0,0.0,0.445336
25,results-gcp2,False,4,uc1,pubsub,flink,0,gcp,e2-standard-4,2,5.0,100,2,0.1,0.345336,0.42119999999999996,0.0,0.013096723705530167,0.8796327237055301
25,results-gcp2,False,4,uc1,pubsub,flink,0,gcp,e2-standard-4,2,5.0,200,3,0.1,0.345336,0.8423999999999999,0.0,0.026193447411060333,1.31392944741106
